-113.37,131.09,93.139
-115.51,132.61,91.901
-111.99,129.79,93.006
-113.6,129.27,94.048
-112.62,131,92.964
-112.7,131.09,91.991
-112.67,132.49,91.389
-111.77,136.05,88.228
-114.06,134.92,86.832
-111.39,133.07,84.455
-109.91,132.08,85.182
-111.11,133.36,86.202
-110.99,133.21,88.585
-111.17,132.69,91.65
-107.63,134.36,91.463
-108.77,135.06,90.673
-109,136.33,90.272
-109,136.33,90.272
-109.84,135.88,90.672
-109.84,135.88,90.672
-107.6,135.43,93.789
-108.43,135.42,91
-108.43,135.42,91
-110.18,137.11,93.275
-109.04,137.44,93.606
-108.37,138.51,93.353
-106.85,140.91,93.592
-107.16,138.94,94.509
-110.01,138.91,93.795
-110.09,139.34,91.804
-110.09,139.34,91.804
-114.01,139.34,92.499
-108.25,139.85,92.362
-108.25,139.85,92.362
-110.15,140.53,95.96
-112.79,142.38,96.06
-113.19,140.47,99.072
-116.05,140.14,94.667
-118.35,141.17,94.567
-118.79,143.4,93.64
-120.37,141.82,90.683
-115.94,141.68,93.956
-116.81,140.87,92.583
-113.05,141.1,94.85
-112.57,141.1,96.661
-112.15,141.86,92
-113.92,143.25,91.726
-115.35,140.9,91.911
-112.84,141.13,92.26
-113.91,140.16,92.462
-117.06,137.61,91.49
-113.4,139.21,91.816
-112.37,137.63,90.024
-113.46,138.03,87.422
-109.05,136.52,86.67
-109.53,136.82,87.52
-107.91,137.31,86.217
-106.6,139.67,87.275
-108.93,140.93,88.746
-105.92,141.65,86.869
-105.92,141.65,86.869
-108.33,142.11,88.011
-108.45,139.5,89.008
-106.51,140.06,87.267
-106.51,140.06,87.267
-106.3,139.71,86.529
-108.04,137.67,86.109
-105.54,137.42,84.691
-105.19,139.71,83.987
-105.47,139.84,85.247
-103.14,137.44,83.038
-104.67,137.88,86.436
-103.49,141.67,90.57
-105.42,140.9,88.782
-105.09,138.31,90.93
-102.62,138.45,90.912
-105.53,139.82,90.89
-108.28,138.25,92.335
-107.87,140.03,92.575
-111.07,139.6,91.35
-111.73,139.54,92.498
-112.49,137.72,91.707
-113.09,137.41,87.093
-111.85,137.13,85.056
-111.85,137.13,85.056
-115.18,135.69,85.299
-116.17,134.81,85.316
-119.39,134.69,87.581
-121.42,136.95,89.457
-121.42,136.95,89.457
-121.15,138.63,91.556
-121.15,138.63,91.556
-123.1,137.46,94.67
-119.22,135.75,97.292
-118.82,137.22,97.245
-115.71,138.32,98.076
-115.43,138.13,102.68
-114.21,139.41,102.81
-117.17,136.29,102.63
-117.96,136.73,102.35
-116.43,133.71,105.48
-114.84,133.92,106.28
-115.86,135.15,103.92
-115.86,135.15,103.92
-115.86,135.15,103.92
-115.63,135.76,101.78
-115.25,134.45,104.37
-116.89,134.24,105.31
-116.14,134.3,103.82
-116.14,134.3,103.82
-116.14,134.3,103.82
-115.74,131.78,107.79
-115.7,133.77,106.3
-111.94,136.54,103.85
-115.37,136.13,103.4
-114.1,136.97,105.45
-117.19,135.05,104.73
-117.19,135.05,104.73
-118.46,136.51,105.15
-118.11,135.35,104.91
-116.58,134.07,106.38
-116.58,134.07,106.38
-116.58,134.07,106.38
-113.49,135.59,104.29
-110.77,132.67,104.69
-110.77,132.67,104.69
-111.18,132.62,103.6
-110.26,136.82,100.91
-112.65,137.51,100.36
-111.94,139.31,100.98
-111.35,138.8,99.955
-112.61,137.45,96.246
-111.92,137.6,92.575
-114.78,138.88,91.549
-115.2,140.2,90.527
-112.08,141.2,89.191
-110.77,142.38,89.074
-109.78,140.39,88.058
-112.34,140.59,87.736
-116.86,141.23,87.06
-118.22,142.8,88.882
-114.92,142.63,89.668
-113.86,142.29,91.267
-109.66,141.61,90.977
-109.83,142.36,93.144
-111.19,142.43,93.12
-115.57,142.42,93.144
-109.15,140.49,88.243
-108.34,143.57,91.526
-108.72,142.86,93.822
-107.41,144.89,93.712
-108.01,144.17,92.842
-108.9,144.02,91.504
-108.35,142.05,89.599
-108.03,142.2,92.041
-104.71,140.26,92.1
-101.5,143.04,92.814
-104.3,143.16,94.496
-105.28,144.46,93.966
-104.21,142.42,93.936
-102.96,142.95,92.177
-101.49,139.42,89.949
-100.42,138.78,87.487
-99.78,138.54,92.944
-99.912,137.58,92.664
-97.047,137.14,93.207
-95.551,139.15,91.851
-97.793,137.67,91.492
-98.505,138.87,93.272
-97.66,138.46,93.06
-100.83,138.74,94.791
-101.6,142.26,95.676
-101.65,139.84,97.982
